ID,Name,Type,Address,Phone 1,Phone 2,Phone 3,Website,District,GPS
1,Bir Hospital,Public,"Ratnapark, Kathmandu",01-4223807,01-4221988,01-4221119,https://birhospital.gov.np/,Kathmandu,
2,TU Teaching Hospital,Public,"Maharajgunj, Kathmandu",01-4412404,01-4412505,,https://tuth.org.np/,Kathmandu,
3,Patan Hospital,Public,"Patan, Lalitpur",01-5522278,01-5522266,,https://patanhospital.org.np/,Lalitpur,
4,Civil Service Hospital of Nepal,Public,"Minbhawan Marg, Kathmandu",01-4107000,,,https://csh.gov.np/,Kathmandu,
5,Nepal Police Hospital,Public,"Maharajgunj, Kathmandu",01-5971944,,,,Kathmandu,
6,Maternity Hospital,Public,"Tripureshwor, Kathmandu",01-4253276,,,,Kathmandu,
7,Teku Hospital (Shukraraj Tropical Hospital),Public,"Teku, Kathmandu",01-4253396,,,,Kathmandu,
8,Mental Hospital,Public,"Lagankhel, Lalitpur",01-5521333,,,,Lalitpur,
9,Kanti Children Hospital,Public,"Maharajgunj, Kathmandu",01-4414798,01-4427452,,,Kathmandu,
10,Bhaktapur Hospital,Public,"Bhaktapur",01-6610676,,,,Bhaktapur,
11,Shahid Gangalal National Heart Centre,Public,"Bansbari, Kathmandu",01-4371322,01-4371374,,,Kathmandu,
12,Nepal Eye Hospital,Public,"Tripureshwor, Kathmandu",01-4250691,01-5350691,,,Kathmandu,
13,Tilganga Eye Hospital,Public,"Tilganga, Kathmandu",01-4423684,,,https://www.tilganga.org/,Kathmandu,
14,Nepal Eye Bank,Public,"Tripureshwor, Kathmandu",01-4493684,,,,Kathmandu,
15,National Kidney Centre,Private,"Kathmandu",01-4429866,01-4426016,,,Kathmandu,
16,Kathmandu Model Hospital,Private,"Bagbazar, Kathmandu",01-4240805,,,,Kathmandu,
17,B&B Hospital,Private,"Gwarko, Lalitpur",01-5533206,,,,Lalitpur,
18,Medicare National Hospital,Private,"Chabahil, Kathmandu",01-4467067,,,,Kathmandu,
19,Nepal Orthopaedic Hospital,Private,"Jorpati, Kathmandu",01-4493725,,,,Kathmandu,
20,Kathmandu Medical College (Teaching Hospital),Private,"Sinamangal, Kathmandu",01-4476152,,,https://kmc.edu.np/,Kathmandu,
21,Nepal Medical College (Teaching Hospital),Private,"Jorpati, Kathmandu",01-4486008,,,,Kathmandu,
22,Kantipur Dental Hospital,Private,"Maharajgunj, Kathmandu",01-4371603,,,,Kathmandu,
23,Kantipur Hospital,Private,"New Baneshwor, Kathmandu",01-4498757,,,,Kathmandu,
24,Hospital and Research Centre,Private,"Kathmandu",01-4476225,,,,Kathmandu,
25,Norvic Hospital,Private,"Thapathali, Kathmandu",01-4258554,,,https://www.norvichospital.com/,Kathmandu,
26,Life Care Hospital,Private,"Kathmandu",01-4227735,,,,Kathmandu,
27,Miteri Hospital,Private,"Kathmandu",01-4280555,01-4222305,,,Kathmandu,
28,Capital Hospital,Private,"Kathmandu",01-4244022,,,,Kathmandu,
29,Shree Satya Sai Centre,Private,"Kathmandu",01-4498035,,,,Kathmandu,
30,Bhaktapur Red Cross,Private,"Bhaktapur",01-6612266,,,,Bhaktapur,
31,Grande International Hospital,Private,"Dhapasi, Kathmandu",01-5159266,01-5159277,,https://www.grandehospital.com/,Kathmandu,
32,Teaching Hospital (IOM),Public,"Maharajgunj, Kathmandu",01-4412404,,,https://iom.edu.np/,Kathmandu,
33,Paropakar Maternity and Women's Hospital,Public,"Thapathali, Kathmandu",01-4251614,01-4211959,,,Kathmandu,
34,Burns Violence and Matreat Trauma Service Centre,Public,"Kirtipur, Kathmandu",01-4333666,,,,Kathmandu,
35,Kathmandu BernHardt SS/College,Private,"Balkhu, Kathmandu",01-4285177,,,,Kathmandu,
